iter	MultiClass
0	1.16237412
1	1.004290905
2	0.8765624752
3	0.7740705519
4	0.6889270852
5	0.6203707828
6	0.5604149257
7	0.5080976584
8	0.4615631589
9	0.4202158403
10	0.3859952352
11	0.3570409517
12	0.3292115163
13	0.3030112212
14	0.2810974637
15	0.2601004394
16	0.2419957678
17	0.2266757219
18	0.212092788
19	0.1986290575
20	0.1864820883
21	0.176311501
22	0.1660361765
23	0.1570229044
24	0.1493127338
25	0.1414979048
26	0.1347048785
27	0.1286422778
28	0.1229889398
29	0.1169106161
30	0.1117613529
31	0.1070131072
32	0.1020761182
33	0.09787509531
34	0.09428927896
35	0.09099585508
36	0.08756766554
37	0.08462067089
38	0.0817315266
39	0.07921047195
40	0.07672105822
41	0.07428212214
42	0.07237926171
43	0.07055276015
44	0.06845720912
45	0.06670947277
46	0.06465526032
47	0.06299156031
48	0.06158942
49	0.05983114702
50	0.05846530479
51	0.05688850279
52	0.05548457096
53	0.05428851909
54	0.05333284798
55	0.05213283169
56	0.05097951274
57	0.04990042237
58	0.04880799019
59	0.04780084748
60	0.04684306342
61	0.04584972378
62	0.04503681819
63	0.04433447545
64	0.04362096943
65	0.04289677595
66	0.04222102744
67	0.0414099851
68	0.0405760764
69	0.04000363117
70	0.03946976242
71	0.03877999119
72	0.03805701118
73	0.03742689519
74	0.03690761832
75	0.03636130268
76	0.0358456341
77	0.03532034869
78	0.03476995704
79	0.03429014524
80	0.03386227609
81	0.03337844724
82	0.03279511546
83	0.03241868821
84	0.03211244466
85	0.03158935449
86	0.03116387009
87	0.03088031034
88	0.03054057787
89	0.03011826258
90	0.02954574895
91	0.02904460927
92	0.0287679334
93	0.02844581237
94	0.02798648429
95	0.02767513621
96	0.02732337051
97	0.02697739004
98	0.02665495568
99	0.02637362736
100	0.02603029141
101	0.02574551702
102	0.02551092195
103	0.02518871405
104	0.02490779159
105	0.02461115553
106	0.0243556818
107	0.02413618974
108	0.02383591928
109	0.02348897072
110	0.02322339122
111	0.02293896017
112	0.02272471559
113	0.02246627258
114	0.02218581547
115	0.02196153825
116	0.02177504693
117	0.02155807875
118	0.02140025513
119	0.02124003767
120	0.02104155262
121	0.0207803491
122	0.02065167772
123	0.02046507622
124	0.02023788966
125	0.02005209147
126	0.01994953948
127	0.01979884641
128	0.0195789006
129	0.01937280689
130	0.01916465752
131	0.01902327234
132	0.01886256346
133	0.0187085266
134	0.01855229004
135	0.01843571319
136	0.01831778983
137	0.01816850377
138	0.0179617514
139	0.01784211375
140	0.01768131794
141	0.01749802484
142	0.01742313875
143	0.01731279538
144	0.01717139458
145	0.016962625
146	0.01680866952
147	0.01670504249
148	0.01663562654
149	0.01649260198
150	0.01630888568
151	0.01614569851
152	0.01604418981
153	0.0159534222
154	0.01582214927
155	0.01571406652
156	0.01559351182
157	0.01554769675
158	0.01543406077
159	0.01530420666
160	0.01516802609
161	0.01507521895
162	0.01498897668
163	0.0149404863
164	0.01484390553
165	0.01473049198
166	0.01464641269
167	0.01452888321
168	0.01439304255
169	0.01430670393
170	0.01421849544
171	0.01412512337
172	0.0140243318
173	0.01391066057
174	0.01383371914
175	0.01377004235
176	0.01361817548
177	0.01356995894
178	0.01348267548
179	0.01335927946
180	0.01325659143
181	0.01317011787
182	0.01311105784
183	0.01303431782
184	0.0129117297
185	0.01286162696
186	0.01279593176
187	0.01272409396
188	0.01267538697
189	0.01262487342
190	0.01252814119
191	0.01244427083
192	0.01237797869
193	0.0122825928
194	0.01221983094
195	0.01214898934
196	0.01207629526
197	0.01198965283
198	0.01193461529
199	0.01187904106
200	0.01180002227
201	0.01173325102
202	0.01166970381
203	0.01158836392
204	0.0114895256
205	0.01140183503
206	0.01136840044
207	0.01132427514
208	0.01126928654
209	0.01123725297
210	0.01117318595
211	0.01110584502
212	0.01107316868
213	0.01101472847
214	0.0109318871
215	0.01087592261
216	0.01083844193
217	0.01081196271
218	0.01077972694
219	0.01067720552
220	0.01061912926
221	0.0105520344
222	0.01049890401
223	0.01046908383
224	0.01042298409
225	0.01038517749
226	0.01035769582
227	0.01029760482
228	0.01025102518
229	0.01016582603
230	0.01010651011
231	0.01006265056
232	0.01000356169
233	0.009935629048
234	0.009874375833
235	0.009815952242
236	0.009758706872
237	0.009702148058
238	0.009649744258
239	0.009590045767
240	0.009563766624
241	0.009521446029
242	0.009493297534
243	0.009464117137
244	0.009418587101
245	0.009369528652
246	0.009340851444
247	0.009310487038
248	0.009274830823
249	0.009251083971
250	0.009191746774
251	0.009134840112
252	0.009097683045
253	0.009057510308
254	0.009022792248
255	0.008977307201
256	0.008942143572
257	0.008900007695
258	0.00887218585
259	0.008838528282
260	0.008815893447
261	0.008775771042
262	0.00873979176
263	0.008699060446
264	0.008637794014
265	0.008616631276
266	0.008593327347
267	0.008563575314
268	0.008529264844
269	0.008474236373
270	0.008427751403
271	0.008401715122
272	0.008353074311
273	0.008333987134
274	0.008288730012
275	0.008229824142
