label,f1,f2,f3,f4
power_jamming,1.1031160825952713,2.8009556376941576,0.14250287868562986,5.256356615628143
power_jamming,0.05760101436952525,1.8883621427948942,-1.1165097948491698,4.90189794580499
normal,-0.35365324608266185,1.5299873816035034,0.6378184036887029,4.990413935194443
power_jamming,0.41046402880849275,1.9158733001590573,1.1811145102629683,4.912668429191499
normal,-0.7250742874676774,2.1601576887330336,-0.4811314320643402,5.063804535046813
normal,-0.00014438550969732113,1.9411070981259402,-0.17113243486572857,4.835899121735077
normal,0.3398712179225451,2.1101168358067053,0.39550825507882686,5.027127670397134
power_jamming,0.010433745273351835,1.524799215886932,-0.6277714622012043,4.895815571702728
normal,0.4860079886842161,2.097167879907721,1.2490425495549309,5.016948227515942
power_jamming,-0.695252995035883,2.547052590509215,-0.5834944942275504,5.037392634875513
power_jamming,0.06064634052504203,1.8846901112004308,0.33300338863112355,4.865274450750378
normal,0.5888364414389674,2.397157593472454,0.7277198169812745,5.1852227427559905
power_jamming,0.26596778071260785,2.0091455806283998,0.9765405875585588,5.101807091827664
normal,-0.3341380401177661,1.9032232843353076,-1.6674281933660573,5.044119592965192
power_jamming,-0.7068025416288486,2.5694090774847593,-0.9578089047150746,4.833517731785139
power_jamming,-0.5024150400917236,2.125078377839989,-0.3251820653398172,5.058359825743318
normal,-0.2580995806153541,2.2301036670886805,0.8746458811709289,4.910728360883546
normal,0.42336782278864743,1.5103009678015387,0.5768267432550823,4.729479660836793
normal,0.5729136216707271,1.542641747246781,2.258911774506868,5.106774761308123
power_jamming,0.1796363979298169,2.7783971865819637,-0.706544393023535,4.887580484707978
power_jamming,0.13781357073685827,2.0373556956866516,-0.6139874820250449,4.941183243609749
power_jamming,-0.5099318833453808,1.9708051314010444,1.5608537456176408,4.867523343162529
power_jamming,-0.2552870003262678,1.751212512826419,-2.2616753209185254,5.183273393448245
normal,-0.1018158931044937,1.6270645632349643,-0.15564456061218773,4.9741587375529495
normal,0.18687987643227788,2.0797776345545,0.1051319016461114,5.0104912166627935
normal,-0.006233062382408548,1.744148443895968,-1.773774042767974,4.874241984295116
power_jamming,-0.151161120959169,2.051591011802401,-0.6482039459333613,5.096138748102079
normal,-0.8462142678950545,2.0321564124928604,-0.015170235117045145,5.024659824000967
normal,-0.4548660953438172,2.264145627290161,-0.5750102397072031,4.902962331448281
power_jamming,-0.03403601121451083,2.021543857851259,1.3283314497906418,5.127234979134135
normal,0.8263813307611954,2.0491523439070556,0.35452789977792803,4.997179298905319
normal,0.19044031258105823,2.1107197090801226,-0.9893363905469987,5.0708245305398165
